desc,link,img,productname
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/fragrance/men/adidas-dynamic-pulse-eau-de-toilette.html"" title=""Adidas Dynamic Pulse Eau de Toilette"">Adidas Dynamic Pulse Eau de Toilette</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_13.jpg'],[u'Adidas Dynamic Pulse Eau de Toilette']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/fragrance/men/adidas-extreme-power-eau-de-toilette.html"" title=""Adidas Extreme Power Eau de Toilette"">Adidas Extreme Power Eau de Toilette</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_15.jpg'],[u'Adidas Extreme Power Eau de Toilette']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/adidas-floral-dream-eau-de-toilette.html"" title=""Adidas Floral Dream Eau de Toilette"">Adidas Floral Dream Eau de Toilette</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_22.jpg'],[u'Adidas Floral Dream Eau de Toilette']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/adidas-floral-dream-perfumed-deo.html"" title=""Adidas Floral Dream Perfumed Deo"">Adidas Floral Dream Perfumed Deo</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_18.jpg'],[u'Adidas Floral Dream Perfumed Deo']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/adidas-fruity-rhythm-eau-de-toilette.html"" title=""Adidas Fruity Rhythm Eau de Toilette"">Adidas Fruity Rhythm Eau de Toilette</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_23.jpg'],[u'Adidas Fruity Rhythm Eau de Toilette']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/adidas-fruity-rhythm-perfumed-deo.html"" title=""Adidas Fruity Rhythm Perfumed Deo"">Adidas Fruity Rhythm Perfumed Deo</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_19.jpg'],[u'Adidas Fruity Rhythm Perfumed Deo']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/fragrance/men/adidas-ice-dive-deo-spray.html"" title=""Adidas Ice Dive Deo Spray"">Adidas Ice Dive Deo Spray</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_5.jpg'],[u'Adidas Ice Dive Deo Spray']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/fragrance/men/adidas-ice-dive-eau-de-toilette.html"" title=""Adidas Ice Dive Eau de Toilette "">Adidas Ice Dive Eau de Toilette </a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_14.jpg'],[u'Adidas Ice Dive Eau de Toilette ']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/fragrance/men/adidas-ice-dive-shower-gel.html"" title=""Adidas Ice Dive Shower Gel"">Adidas Ice Dive Shower Gel</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_11.jpg'],[u'Adidas Ice Dive Shower Gel']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/fragrance/men/adidas-intense-touch-eau-de-toilette.html"" title=""Adidas Intense Touch Eau de Toilette"">Adidas Intense Touch Eau de Toilette</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_16.jpg'],[u'Adidas Intense Touch Eau de Toilette']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/adidas-natural-vitality-eau-de-toilette.html"" title=""Adidas Natural Vitality Eau de Toilette"">Adidas Natural Vitality Eau de Toilette</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_24.jpg'],[u'Adidas Natural Vitality Eau de Toilette']
"[u'\n              ', u'\n            ']","[u'<a href=""http://www.nykaa.com/adidas-natural-vitality-perfumed-deo.html"" title=""Adidas Natural Vitality Perfumed Deo"">Adidas Natural Vitality Perfumed Deo</a>']",[u'http://d1a6vzi1bybqvs.cloudfront.net/catalog/product/cache/1/small_image/155x/9df78eab33525d08d6e5fb8d27136e95/c/a/cak_20.jpg'],[u'Adidas Natural Vitality Perfumed Deo']
